Only samples that are Within_ET_space = TRUE were used for analysis.,,

sample_name,ET,Within_ET_space
DP226,ET_P,FALSE
DP229,ET_F,TRUE
DP231,ET_F,FALSE
DP234,ET_P,FALSE
DP236,ET_P,FALSE
DP237,ET_P,FALSE
DP239,ET_P,TRUE
DP240,ET_B,TRUE
DP241,ET_B,TRUE
DP243,ET_F,FALSE
DP244,ET_B,TRUE
DP245,ET_B,FALSE
DP246,ET_B,FALSE
DP249,ET_B,FALSE
DP250,ET_P,FALSE
DP252,ET_B,TRUE
DP253,ET_F,TRUE
DP254,ET_B,TRUE
DP255,ET_B,TRUE
DP256,ET_B,TRUE
DP258,ET_B,TRUE
DP260,ET_P,TRUE
DP261,ET_F,TRUE
DP262,ET_P,FALSE
DP263,ET_F,TRUE
DP264,ET_B,FALSE
DP265,ET_P,TRUE
DP267,ET_F,FALSE
DP269,ET_F,TRUE
DP270,ET_F,TRUE
DP271,ET_B,TRUE
DP272,ET_B,FALSE
DP273,ET_F,TRUE
DP274,ET_P,TRUE
DP275,ET_B,TRUE
DP276,ET_F,FALSE
DP277,ET_B,FALSE
DP278,ET_F,TRUE
DP279,ET_B,TRUE
DP280,ET_P,TRUE
DP281,ET_B,FALSE
DP282,ET_F,TRUE
DP284,ET_F,TRUE
DP285,ET_B,FALSE
DP287,ET_F,FALSE
DP292,ET_B,TRUE
DP293,ET_P,TRUE
DP294,ET_F,TRUE
DP295,ET_B,TRUE
DP296,ET_B,TRUE
DP297,ET_B,TRUE
DP299,ET_B,TRUE
DP300,ET_B,FALSE
DP301,ET_F,TRUE
DP302,ET_F,TRUE
DP303,ET_B,TRUE
DP304,ET_B,FALSE
DP305,ET_F,FALSE
DP307,ET_F,TRUE
DP308,ET_B,FALSE
DP309,ET_B,TRUE
DP310,ET_B,TRUE
DP312,ET_B,TRUE
DP313,ET_B,TRUE
DP316,ET_B,FALSE
DP317,ET_B,TRUE
DP319,ET_B,TRUE
DP320,ET_B,TRUE
DP321,ET_F,TRUE
DP322,ET_B,TRUE
DP323,ET_B,FALSE
DP324,ET_B,TRUE
DP326,ET_B,TRUE
DP327,ET_B,FALSE
DP328,ET_B,TRUE
DP331,ET_B,FALSE
DP332,ET_F,FALSE
DP333,ET_P,FALSE
DP334,ET_P,FALSE
DP335,ET_B,TRUE
DP336,ET_F,TRUE
DP337,ET_B,TRUE
DP338,ET_B,TRUE
DP339,ET_B,FALSE
DP340,ET_B,FALSE
DP341,ET_B,FALSE
DP342,ET_B,FALSE
DP346,ET_P,TRUE
DP347,ET_F,TRUE
DP348,ET_F,TRUE
DP349,ET_B,FALSE
DP350,ET_B,FALSE
DP351,ET_B,FALSE
DP352,ET_P,TRUE
DP353,ET_B,TRUE
DP354,ET_B,TRUE
DP356,ET_B,TRUE
DP357,ET_F,FALSE
DP359,ET_B,TRUE
DP360,ET_B,FALSE
DP361,ET_B,FALSE
DP362,ET_F,FALSE
DP364,ET_F,FALSE
DP367,ET_F,FALSE
DP368,ET_F,TRUE
DP369,ET_B,FALSE
DP371,ET_B,TRUE
DP373,ET_F,TRUE
DP375,ET_B,FALSE
DP376,ET_F,TRUE
DP377,ET_B,TRUE
DP379,ET_F,TRUE
DP380,ET_B,FALSE
DP381,ET_B,FALSE
DP382,ET_B,FALSE
DP383,ET_F,TRUE
DP384,ET_F,FALSE
DP385,ET_P,TRUE
DP389,ET_F,TRUE
DP391,ET_F,FALSE
DP392,ET_B,TRUE
DP393,ET_F,FALSE
DP394,ET_B,FALSE
DP396,ET_B,FALSE
DP397,ET_B,FALSE
DP398,ET_B,TRUE
DP399,ET_B,TRUE
DP400,ET_B,TRUE
DP401,ET_B,TRUE
DP402,ET_F,TRUE
DP404,ET_B,TRUE
DP405,ET_F,FALSE
DP406,ET_B,FALSE
DP407,ET_B,TRUE
DP408,ET_B,TRUE
DP409,ET_F,TRUE
DP412,ET_P,FALSE
DP413,ET_B,TRUE
DP414,ET_B,TRUE
DP415,ET_F,FALSE
DP416,ET_B,TRUE
DP418,ET_B,TRUE
DP419,ET_F,FALSE
DP420,ET_B,FALSE
DP422,ET_B,TRUE
DP423,ET_F,FALSE
DP424,ET_F,TRUE
DP427,ET_B,FALSE
DP428,ET_B,FALSE
DP430,ET_F,FALSE
DP431,ET_B,TRUE
DP432,ET_B,FALSE
DP434,ET_B,TRUE
DP436,ET_B,TRUE
DP437,ET_B,TRUE
DP438,ET_F,FALSE
DP439,ET_F,FALSE
DP440,ET_B,FALSE
DP441,ET_F,FALSE
DP443,ET_B,TRUE
DP444,ET_P,FALSE
DP445,ET_F,FALSE
DP446,ET_P,FALSE
DP447,ET_B,TRUE
DP448,ET_B,FALSE
DP449,ET_B,TRUE
DP450,ET_B,FALSE
DP451,ET_B,TRUE
DP452,ET_B,TRUE
DP453,ET_B,FALSE
DP454,ET_F,TRUE
DP455,ET_B,FALSE
DP456,ET_B,TRUE
DP458,ET_B,TRUE
DP459,ET_P,FALSE
