feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0.512042201340637,-0.137786590267723,1.33185178416807,0.183529703481199,0.527647897508448,-5.25152723543637,0.528,0.184
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,-0.278830809533376,-1.99500835017645,-1.32207533401767,0.18676152025033,0.530310489599703,-5.26383199439081,0.53,0.187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,-0.510516044263112,1.37185453479254,-1.31204076657745,0.190122320627377,0.533269923710936,-5.2763680482037,0.533,0.19
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,-0.199398591640579,-2.04727698807782,-1.28223831097686,0.200366956172399,0.53481569853856,-5.31304086411862,0.535,0.2
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme,-0.230365116830895,-1.85804851817607,-1.27841218427791,0.201710930739613,0.53481569853856,-5.31768843126574,0.535,0.202
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum,-0.231980982736795,-1.86941588476101,-1.27514993271875,0.202862034656756,0.53481569853856,-5.32164017091173,0.535,0.203
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An131,0.219418847078167,-1.90215292713822,1.27299571452659,0.203624789383395,0.53481569853856,-5.32424419389554,0.535,0.204
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group,0.283620258487099,-1.36431720777221,1.25690556169162,0.209388223506362,0.53481569853856,-5.34355569805231,0.535,0.209
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris,0.210408724416473,-1.04003920851567,1.25122066161878,0.211452604384762,0.53481569853856,-5.35032042300894,0.535,0.211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis,0.399660388080557,1.51779581547227,1.24857267057456,0.212419202691366,0.53481569853856,-5.35346099133386,0.535,0.212
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,0.419323379119315,2.04461214406545,1.23841687736128,0.216156060734137,0.53481569853856,-5.36544467299036,0.535,0.216
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,0.412087366419979,0.609940579849939,1.22958453987746,0.219444351274574,0.53481569853856,-5.37578764618436,0.535,0.219
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,0.36352841517869,-0.515711873495552,1.22767017939016,0.220161795143874,0.53481569853856,-5.3780197303431,0.535,0.22
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa,0.338133742647913,-0.168488766157583,1.22450475308609,0.221351800522273,0.53481569853856,-5.38170293727561,0.535,0.221
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_oris,0.200438459065214,-2.21809944739503,1.21799471560563,0.223813691483595,0.53481569853856,-5.38924814910712,0.535,0.224
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.454061260451489,4.78786010475675,1.21455985495089,0.225120534717903,0.53481569853856,-5.39321308771996,0.535,0.225
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83,0.472865781454474,1.65122879106646,1.20918641024936,0.227175891467096,0.53481569853856,-5.3993934599715,0.535,0.227
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger,-0.244693075402157,-2.07930115655942,-1.20801717427029,0.22762489954007,0.53481569853856,-5.40073467209467,0.535,0.228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,-0.446652908834622,2.85889841352223,-1.20735883396625,0.227877993290343,0.53481569853856,-5.40148927646512,0.535,0.228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,-0.42032573734625,1.42754027690054,-1.19440270264346,0.232899854200564,0.541080469354845,-5.41625669439299,0.541,0.233
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,0.206297348390441,-2.06888287339495,1.17957258295118,0.238744145832441,0.549111535414614,-5.43296571682112,0.549,0.239
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,-0.285985616308664,5.07237888812986,-1.16965348231636,0.242710571680583,0.552707242440931,-5.44402570133418,0.553,0.243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_saccharolyticum,-0.293264811698618,-1.41420480424715,-1.15722627891623,0.247745220131983,0.558641182650549,-5.45775122917332,0.559,0.248
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,-0.319716584643757,2.94439603184461,-1.14313423247366,0.253542536128733,0.566162944753482,-5.47313915953943,0.566,0.254
